Name,Input Lag,Aspect Ratio,Audible Noise,Brightness,Contrast,Length,Width,Height,Resolution Width,Resolution Height,Volume,Weight,Price,Release Date,3D,Technology
NEC ME331W,44,1.6,36.0,3300,6000.0,26,34,11,1280,800,9.56,2.9,639.0,1/1/2017,False,LCD
ViewSonic PG705HD,16,1.7777777777777777,,4000,12000.0,26,33,13,1920,1080,11.69,3.7,799.0,12/20/2017,False,DLP
*,32,1.9,,1500,,46,50,20,4096,2160,44.85,14.1,7999.0,,True,SXRD
*,33,1.7777777777777777,,300,100000.0,9,11,6,1280,720,0.61,0.4,450.0,,False,DLP
ViewSonic PA502S,16,1.3333333333333333,,3500,22000.0,21,32,12,800,600,8.24,2.1,289.0,7/15/2017,True,DLP
Canon REALiS WUX6500,18,1.6,43.0,6500,2000.0,37,38,17,1920,1200,23.79,8.5,5074.0,3/20/2017,False,LCS
*,33,1.6,,800,100000.0,14,14,5,1280,800,0.99,0.6,600.0,,True,DLP
*,44,1.3333333333333333,37.0,3500,10000.0,27,29,9,1024,768,7.05,2.9,899.0,,False,LCD
ViewSonic PS750W,16,1.6,,3300,10000.0,39,43,15,1280,800,25.77,6.1,1499.0,8/20/2017,True,DLP
*,66,1.6,39.0,5000,15000.0,37,47,14,1280,800,23.58,8.8,4999.0,,False,DLP
ViewSonic PG800HD,16,1.7777777777777777,,5000,5000.0,31,47,14,1920,1080,20.68,6.2,1249.0,11/8/2017,True,DLP
*,56,1.6,39.0,4400,10000.0,29,38,12,1920,1200,13.55,4.6,1600.0,,False,LCD
Canon REALiS WUX450ST,19,1.6,37.0,4500,2000.0,41,34,14,1920,1200,18.99,6.3,5432.0,4/1/2016,False,LCS
*,33,1.7777777777777777,,3200,15000.0,22,27,8,1920,1080,4.99,2.1,669.0,,True,DLP
ViewSonic LS800WU,16,1.6,,5500,100000.0,44,36,16,1920,1200,25.37,11.0,3199.0,1/10/2018,True,DLP
ViewSonic Pro8800WUL,16,1.6,33.0,5200,5000.0,32,50,14,1920,1200,21.94,6.3,1899.0,4/1/2017,True,DLP
InFocus IN1118HD,33,1.7777777777777777,30.0,2400,15000.0,19,22,8,1920,1080,3.26,1.6,999.0,3/22/2016,True,DLP
ViewSonic PG703X,16,1.3333333333333333,,4000,22000.0,22,29,11,1024,768,7.05,2.4,579.0,7/15/2017,True,DLP
Ricoh PJ WUL5670,82,1.6,,5200,100000.0,39,41,17,1920,1200,26.14,11.4,4365.0,4/15/2017,True,DLP
ViewSonic PLED-W800,16,1.6,,800,120000.0,14,18,5,1280,800,1.24,0.8,649.0,10/1/2014,False,DLP
ViewSonic PA502X,16,1.3333333333333333,,3500,22000.0,21,32,12,1024,768,8.27,2.1,339.0,7/15/2017,True,DLP
Epson Pro LS9600e,56,1.7777777777777777,,1300,10000100.0,55,55,22,1920,1080,68.37,18.0,5999.0,11/10/2014,False,LCD
ViewSonic PA505W,16,1.6,,3500,22000.0,23,35,11,1280,800,8.68,2.9,429.0,11/8/2017,False,DLP
Canon XEED WUX450ST,19,1.6,37.0,4500,2000.0,41,34,14,1920,1200,18.99,6.3,,4/1/2016,False,LCS
Epson Pro 1985,35,1.6,39.0,4800,10000.0,29,38,12,1920,1200,13.55,4.6,1699.0,12/1/2015,False,LCD
ViewSonic PG705WU,16,1.6,,4000,12000.0,26,33,13,1920,1200,11.69,3.7,949.0,12/18/2017,False,DLP
*,53,1.6,37.0,3200,15000.0,24,30,8,1920,1200,5.89,2.6,799.0,,False,LCD
ViewSonic Pro8510L,16,1.3333333333333333,33.0,5200,5000.0,32,50,14,1024,768,21.94,6.3,1249.0,6/1/2016,True,DLP
Hitachi CP-X25LWN,46,1.3333333333333333,,2700,5000.0,25,33,9,1024,768,7.12,3.1,809.0,8/29/2016,False,LCD
ViewSonic PG703W,16,1.6,,4000,22000.0,22,29,11,1280,800,7.05,2.4,629.0,7/15/2017,True,DLP
Sony VPL-PHZ10,37,1.6,,5000,500000.0,35,51,11,1920,1200,20.05,8.7,3199.0,7/2/2017,False,LCD
*,50,1.7777777777777777,22.0,2400,500000.0,36,47,15,1920,1080,25.58,8.7,3335.0,,True,LCD
Epson Home Cinema 3100,28,1.7777777777777777,35.0,2600,60000.0,30,41,16,1920,1080,19.63,6.6,1325.0,9/14/2016,True,LCD
*,33,1.7777777777777777,,3000,20000.0,22,31,10,1920,1080,7.15,2.5,808.0,,True,DLP
BenQ HT3050,50,1.7777777777777777,29.0,2000,15000.0,28,38,12,1920,1080,12.86,3.7,882.0,10/30/2015,True,DLP
*,24,1.7777777777777777,37.0,2200,35000.0,25,30,11,1920,1080,8.3,2.9,713.0,,True,LCD
Dell S718QL Laser 4K UST,97,1.7777777777777777,33.0,5000,100000.0,39,46,13,3840,2160,23.84,15.0,6000.0,9/1/2017,False,DLP
Epson Home Cinema LS100,30,1.6,38.0,4000,2500000.0,44,49,19,1920,1200,40.58,11.0,2999.0,11/1/2017,False,LCD
ViewSonic PJD7828HDL,16,1.7777777777777777,35.0,3200,22000.0,23,31,10,1920,1080,7.5,2.4,589.0,2/1/2016,True,DLP
Epson Pro Cinema 6040UB,28,1.7777777777777777,31.0,2500,1000000.0,45,52,19,1920,1080,45.2,11.0,3999.0,9/15/2016,True,LCD
ViewSonic Pro7827HD,50,1.7777777777777777,34.0,2200,22000.0,23,32,10,1920,1080,7.47,2.6,499.0,3/21/2016,True,DLP
Vivitek HK2288,62,1.7777777777777777,35.0,2000,100000.0,36,43,14,3840,2160,22.42,9.0,1499.0,8/25/2017,False,DLP
Epson Pro G7905U,44,1.6,39.0,7000,50000.0,42,53,17,1920,1200,36.83,12.9,6499.0,6/25/2016,False,LCD
ViewSonic PJD7720HD,16,1.7777777777777777,35.0,3200,22000.0,23,31,10,1920,1080,7.5,2.4,529.0,7/1/2016,True,DLP
Sony VPL-HW65ES,21,1.7777777777777777,21.0,1800,120000.0,46,41,18,1920,1080,33.89,9.0,2999.0,10/30/2015,True,SXRD
*,53,1.6,37.0,3000,15000.0,24,30,8,1920,1200,6.08,2.6,703.0,,False,LCD
