1080P Input Lag,3D Projector,Aspect Ratio,Audible Noise,Brightness,Contrast,L × W × H,Lamp Life,Resolution,Screen Size,Speakers,Technology,Throw Distance,Throw Ratio (std lens),User Rating,Volume,Warranty,Weight,name,price_dollars,release_date
37 ms,No,16:10,n/a,"5,000 lumens","500,000:1",35 × 51 × 11 cm,"20,000 hours",1920x1200 (WUXGA),102  –1524 cm,n/a,2 cm3 LCD,1.6  –16.4 m,1.27– 1.88,Rate this Projector,20.05 L,n/a,8.7 kg,Sony VPL-PHZ10,"$3,199",7/2/2017
50 ms,Full HD 3D,16:9,22 dB,"2,400 lumens","500,000:1",36 × 47 × 15 cm,"4,000 hours",1920x1080 (HD),104  –777 cm,No,2 cm3 LCD,2.4  – 9.1 m,1.35– 2.70,,25.58 L,2 years,8.7 kg,*,"$3,335",First Ship Date:
28 ms,Full HD 3D,16:9,35 dB,"2,600 lumens","60,000:1",30 × 41 × 16 cm,"3,500 hours",1920x1080 (HD),102  –457 cm,No,3 LCD,1.9  – 5.3 m,1.34– 2.17,,19.63 L,2 years,6.6 kg,Epson Home Cinema 3100,"$1,325",9/14/2016
33 ms,Full HD 3D,16:9,n/a,"3,000 lumens","20,000:1",22 × 31 × 10 cm,"5,000 hours",1920x1080 (HD),84  –775 cm,10.0 W Mono,2 cmDLP,1.2  – 10.0 m,1.48– 1.62,,7.15 L,1 years,2.5 kg,*,$808,First Ship Date:
50 ms,Full HD 3D,16:9,29 dB,"2,000 lumens","15,000:1",28 × 38 × 12 cm,"3,500 hours",1920x1080 (HD),103  –596 cm,10.0 W × 2,DLP,1.3  – 6.0 m,1.15– 1.50,,12.86 L,1 years,3.7 kg,BenQ HT3050,$882,10/30/2015
24 ms,Full HD 3D,16:9,37 dB,"2,200 lumens","35,000:1",25 × 30 × 11 cm,"4,000 hours",1920x1080 (HD),86  –846 cm,5.0 W Mono,3 LCD,1.1  – 9.0 m,1.22– 1.47,,8.30 L,2 years,2.9 kg,*,$713,First Ship Date:
97 ms,No,16:9,33 dB,"5,000 lumens","100,000:1",39 × 46 × 13 cm,"20,000 hours",3840x2160,253  –331 cm,6.0 W × 2,DLP,0.4  – 0.5 m,0.19,Rate this Projector,23.84 L,2 years,15.0 kg,Dell S718QL Laser 4K UST,"$6,000",9/1/2017
30 ms,No,16:10,38 dB,"4,000 lumens","2,500,000:1",44 × 49 × 19 cm,"20,000 hours",1920x1200 (WUXGA),177  –331 cm,16.0 W Mono,2 cm3 LCD,0.4  – 0.8 m,0.27,Rate this Projector,40.58 L,2 years,11.0 kg,Epson Home Cinema LS100,"$2,999",11/1/2017
16 ms,Full HD 3D,16:9,35 dB,"3,200 lumens","22,000:1",23 × 31 × 10 cm,"4,000 hours",1920x1080 (HD),77  –762 cm,10.0 W Mono,2 cmDLP,1.0  – 7.6 m,1.15– 1.50,Rate this Projector,7.50 L,3 years,2.4 kg,ViewSonic PJD7828HDL,$589,2/1/2016
28 ms,Full HD 3D,16:9,31 dB,"2,500 lumens","1,000,000:1",45 × 52 × 19 cm,"3,500 hours",1920x1080 (HD),127  –762 cm,No,2 cm3 LCD,3.1  – 9.0 m,1.35– 2.84,,45.20 L,3 years,11.0 kg,Epson Pro Cinema 6040UB,"$3,999",9/15/2016
50 ms,Full HD 3D,16:9,34 dB,"2,200 lumens","22,000:1",23 × 32 × 10 cm,"3,500 hours",1920x1080 (HD),77  –763 cm,10.0 W Mono,DLP,1.0  – 7.3 m,1.10– 1.50,Rate this Projector,7.47 L,3 years,2.6 kg,ViewSonic Pro7827HD,$499,3/21/2016
62 ms,No,16:9,35 dB,"2,000 lumens","100,000:1",36 × 43 × 14 cm,"3,000 hours",3840x2160,66  –825 cm,10.0 W Mono,2 cmDLP,1.2  – 10.0 m,1.39– 2.09,,22.42 L,n/a,9.0 kg,Vivitek HK2288,"$1,499",8/25/2017
44 ms,No,16:10,39 dB,"7,000 lumens","50,000:1",42 × 53 × 17 cm,"3,000 hours",1920x1200 (WUXGA),76  –761 cm,10.0 W Mono,3 LCD,1.5  – 9.3 m,1.44– 2.32,Rate this Projector,36.83 L,3 years,12.9 kg,Epson Pro G7905U,"$6,499",6/25/2016
16 ms,Full HD 3D,16:9,35 dB,"3,200 lumens","22,000:1",23 × 31 × 10 cm,"4,000 hours",1920x1080 (HD),76  –762 cm,10.0 W Mono,2 cmDLP,1.1  – 9.9 m,1.49– 1.64,Rate this Projector,7.50 L,1 years,2.4 kg,ViewSonic PJD7720HD,$529,7/1/2016
21 ms,Full HD 3D,16:9,21 dB,"1,800 lumens","120,000:1",46 × 41 × 18 cm,n/a,1920x1080 (HD),100  –764 cm,No,2 cmSXRD,1.9  – 9.1 m,1.36– 2.16,,33.89 L,3 years,9.0 kg,Sony VPL-HW65ES,"$2,999",10/30/2015
