1080P Input Lag,3D Projector,Aspect Ratio,Audible Noise,Brightness,Contrast,L × W × H,Lamp Life,Resolution,Screen Size,Speakers,Technology,Throw Distance,Throw Ratio (std lens),User Rating,Volume,Warranty,Weight,name,price_dollars,release_date
53 ms,No,16:10,37 dB,"3,000 lumens","15,000:1",24 × 30 ×  8 cm,"5,000 hours",1920x1200 (WUXGA),77  –763 cm,2.0 W Mono,3 LCD,1.1  – 8.9 m,1.38– 1.68,,6.08 L,2 years,2.6 kg,*,$703,First Ship Date:
67 ms,No,16:9,30 dB,"2,000 lumens","150,000:1",33 × 32 × 20 cm,"20,000 hours",1920x1080 (HD),69  –305 cm,3.0 W × 2,DLP,0.9  – 3.7 m,1.40– 1.54,Rate this Projector,21.58 L,1 years,2.1 kg,LG HF80JA Laser Smart Home Theater,"$1,497",3/30/2017
33 ms,Full HD 3D,16:9,36 dB,"4,000 lumens","10,000:1",22 × 31 × 11 cm,"2,500 hours",1920x1080 (HD),142  –763 cm,10.0 W Mono,DLP,1.9  – 7.7 m,1.15– 1.50,Rate this Projector,7.71 L,1 years,3.3 kg,BenQ MH741,$849,10/1/2015
33 ms,No,16:9,34 dB,"2,200 lumens","15,000:1",24 × 33 ×  10 cm,"4,500 hours",1920x1080 (HD),151  –763 cm,2.0 W Mono,DLP,2.2  – 9.1 m,1.37– 1.64,Rate this Projector,7.95 L,1 years,2.6 kg,BenQ HT1070A,$620,9/25/2017
33 ms,Full HD 3D,16:9,31 dB,"3,400 lumens","20,000:1",21 × 31 ×  9 cm,"3,500 hours",1920x1080 (HD),70  –763 cm,10.0 W Mono,DLP,1.0  – 9.9 m,1.49– 1.64,Rate this Projector,5.60 L,1 years,2.4 kg,Acer H6502BD,$500,10/17/2016
49 ms,Full HD 3D,16:9,n/a,"4,500 lumens","100,000:1",39 × 51 × 17 cm,"15,000 hours",1920x1080 (HD),179  –381 cm,10.0 W × 2,DLP,0.4  – 0.8 m,0.23,Rate this Projector,32.88 L,3 years,10.0 kg,ViewSonic LS830,"$2,999",9/1/2016
17 ms,No,16:9,28 dB,100 lumens,"1,500:1",7 ×  7 ×  2 cm,"30,000 hours",854x480 (WVGA),37  –305 cm,No,DLP,0.5  – 3.7 m,1.40,Rate this Projector,0.10 L,1 years,0.1 kg,Philips PicoPix PPX4010,$249,9/1/2015
70 ms,No,16:9,n/a,"1,400 lumens","150,000:1",22 × 13 ×  8 cm,"30,000 hours",1920x1080 (HD),69  –305 cm,3.0 W × 2,DLP,0.9  – 3.7 m,1.40– 1.54,,2.45 L,1 years,1.5 kg,*,$999,First Ship Date:
65 ms,No,16:9,26 dB,"2,200 lumens","50,000:1",56 × 47 × 22 cm,"3,000 hours",3840x2160,203  –514 cm,No,DLP,3.6  – 6.1 m,1.36– 2.03,Rate this Projector,59.75 L,3 years,14.8 kg,BenQ HT8050,"$7,999",2/24/2017
16 ms,PC 3D Ready,16:10,22 dB,700 lumens,"20,000:1",11 × 10 ×  4 cm,"20,000 hours",1280x800 (WXGA),63  –508 cm,1.5 W Mono,1 cmDLP,0.4  – 3.4 m,0.80,,0.42 L,2 years,0.4 kg,Optoma ML750ST,$537,1/1/2016
50 ms,Full HD 3D,16:9,n/a,"5,500 lumens","10,000:1",34 × 42 × 16 cm,"3,000 hours",1920x1080 (HD),68  –769 cm,10.0 W × 2,2 cmDLP,1.3  – 8.0 m,1.20– 2.16,Rate this Projector,23.28 L,3 years,5.9 kg,Optoma EH515,"$1,799",10/1/2015
33 ms,Full HD 3D,16:9,33 dB,"3,200 lumens","10,000:1",32 × 43 × 17 cm,"4,000 hours",1920x1080 (HD),76  –762 cm,2.0 W Mono,DLP,1.1  – 9.8 m,1.47– 1.62,Rate this Projector,22.69 L,1 years,2.0 kg,*,$613,First Ship Date:
33 ms,PC 3D Ready,16:10,n/a,"3,500 lumens","10,000:1",29 × 37 × 13 cm,"3,500 hours",1280x800 (WXGA),152  –383 cm,20.0 W Mono,2 cmDLP,0.6  – 1.5 m,0.45,Rate this Projector,14.49 L,2 years,3.7 kg,NEC M353WS,$989,9/2/2015
34 ms,Full HD 3D,16:9,n/a,550 lumens,"100,000:1",11 × 18 ×  4 cm,"30,000 hours",1280x720 (HD),64  –254 cm,1.0 W × 2,DLP,0.8  – 3.1 m,1.39,Rate this Projector,0.83 L,1 years,0.6 kg,LG PH550,$449,3/1/2016
50 ms,Full HD 3D,16:9,29 dB,"3,000 lumens","30,000:1",22 × 31 × 11 cm,"4,000 hours",1920x1080 (HD),106  –775 cm,10.0 W Mono,2 cmDLP,1.5  – 10.0 m,1.48– 1.62,,8.05 L,1 years,2.6 kg,Optoma HD28DSE,$699,9/2/2015
