1080P Input Lag,3D Projector,Aspect Ratio,Audible Noise,Brightness,Contrast,L × W × H,Lamp Life,Resolution,Screen Size,Speakers,Technology,Throw Distance,Throw Ratio (std lens),User Rating,Volume,Warranty,Weight,name,price_dollars,release_date
50 ms,Full HD 3D,16:9,35 dB,"5,000 lumens","20,000:1",29 × 37 × 12 cm,"3,000 hours",1920x1080 (HD),51  –762 cm,10.0 W × 2,DLP,1.0  – 9.4 m,1.41– 2.24,Rate this Projector,12.68 L,1 years,4.5 kg,Acer P6500,"$1,169",3/1/2016
50 ms,Full HD 3D,16:9,n/a,"3,500 lumens","100,000:1",39 × 51 × 17 cm,"15,000 hours",1920x1080 (HD),179  –381 cm,10.0 W × 2,DLP,0.4  – 0.8 m,0.23,Rate this Projector,32.88 L,3 years,10.0 kg,ViewSonic LS820,"$2,799",9/1/2016
33 ms,Full HD 3D,16:10,32 dB,"3,200 lumens","20,000:1",23 × 32 × 10 cm,"5,000 hours",1280x800 (WXGA),127  –635 cm,2.0 W Mono,2 cmDLP,0.5  – 2.6 m,0.49,Rate this Projector,7.47 L,3 years,2.5 kg,ViewSonic PJD5553LWS,$529,2/2/2016
34 ms,Full HD 3D,16:9,36 dB,"3,500 lumens","25,000:1",31 × 38 × 12 cm,"3,000 hours",1920x1080 (HD),203  –255 cm,16.0 W Mono,2 cmDLP,0.4  – 0.6 m,0.25,Rate this Projector,14.30 L,1 years,4.8 kg,*,"$1,299",First Ship Date:
33 ms,Full HD 3D,16:10,32 dB,"3,300 lumens","20,000:1",23 × 32 × 10 cm,"5,000 hours",1280x800 (WXGA),76  –762 cm,2.0 W Mono,2 cmDLP,1.1  – 9.7 m,1.50– 1.65,Rate this Projector,7.47 L,3 years,2.1 kg,*,$430,First Ship Date:
33 ms,PC 3D Ready,16:10,n/a,"3,200 lumens","20,000:1",30 × 39 × 11 cm,"20,000 hours",1280x800 (WXGA),177  –254 cm,10.0 W × 2,DLP,0.8  – 1.1 m,0.52,Rate this Projector,13.34 L,2 years,5.5 kg,Dell S518WL Laser Short Throw,"$1,129",9/13/2017
33 ms,PC 3D Ready,16:9,35 dB,"3,000 lumens","8,000:1",25 × 32 × 10 cm,"3,500 hours",1920x1080 (HD),78  –762 cm,8.0 W Mono,2 cmDLP,1.2  – 10.0 m,1.50– 1.80,Rate this Projector,8.19 L,3 years,2.9 kg,NEC V302H,$782,5/1/2015
28 ms,Full HD 3D,16:9,35 dB,"2,700 lumens","120,000:1",30 × 41 × 16 cm,"3,500 hours",1920x1080 (HD),102  –457 cm,No,3 LCD,1.9  – 5.3 m,1.34– 2.17,Rate this Projector,19.63 L,2 years,6.6 kg,Epson Home Cinema 3900,"$2,100",9/14/2016
82 ms,Full HD 3D,16:10,35 dB,"5,500 lumens","300,000:1",41 × 40 × 13 cm,"20,000 hours",1920x1200 (WUXGA),71  –767 cm,10.0 W × 2,2 cmDLP,1.3  – 7.8 m,1.20– 2.13,Rate this Projector,20.65 L,5 years,11.0 kg,Optoma ZU510T-B,"$3,599",3/5/2017
33 ms,PC 3D Ready,16:9,37 dB,"4,000 lumens","2,200:1",25 × 32 ×  9 cm,"3,000 hours",1920x1080 (HD),101  –765 cm,10.0 W Mono,2 cmDLP,1.3  – 7.1 m,1.07– 1.45,Rate this Projector,7.70 L,2 years,3.0 kg,Dell 4350,$932,12/1/2015
33 ms,Full HD 3D,16:9,29 dB,"2,600 lumens","20,000:1",26 × 29 × 12 cm,"3,000 hours",1920x1080 (HD),65  –825 cm,10.0 W Mono,2 cmDLP,1.2  – 10.0 m,1.39– 2.09,Rate this Projector,9.44 L,1 years,3.5 kg,*,"$1,405",First Ship Date:
17 ms,Full HD 3D,16:9,n/a,"3,000 lumens","10,000:1",39 × 43 × 15 cm,"3,000 hours",1920x1080 (HD),203  –305 cm,10.0 W × 2,2 cmDLP,0.4  – 0.6 m,0.22,Rate this Projector,25.77 L,3 years,6.1 kg,ViewSonic PS750HD,"$1,799",10/18/2017
60 ms,No,16:10,n/a,"3,500 lumens","30,000:1",45 × 47 × 13 cm,"20,000 hours",1920x1200 (WUXGA),76  –762 cm,16.0 W Mono,DLP,1.4  – 8.8 m,1.36– 2.34,Rate this Projector,28.38 L,5 years,14.5 kg,Hitachi LP-WU3500,"$3,786",12/16/2016
33 ms,Full HD 3D,16:10,32 dB,"3,200 lumens","22,000:1",32 × 38 × 13 cm,"20,000 hours",1280x800 (WXGA),216  –293 cm,10.0 W Mono,2 cmDLP,0.5  – 0.7 m,0.27,Rate this Projector,15.37 L,3 years,5.6 kg,Optoma ZW300UST,"$1,799",4/1/2017
46 ms,Full HD 3D,16:9,35 dB,"2,300 lumens","60,000:1",32 × 41 × 16 cm,"3,500 hours",1920x1080 (HD),76  –763 cm,No,2 cm3 LCD,1.4  – 8.8 m,1.32– 2.15,,21.28 L,2 years,6.8 kg,*,"$1,193",First Ship Date:
