1080P Input Lag,3D Projector,Aspect Ratio,Audible Noise,Brightness,Contrast,L × W × H,Lamp Life,Resolution,Screen Size,Speakers,Technology,Throw Distance,Throw Ratio (std lens),User Rating,Volume,Warranty,Weight,name,price_dollars,release_date
44 ms,No,16:10,36 dB,"3,300 lumens","6,000:1",26 × 34 × 11 cm,"4,000 hours",1280x800 (WXGA),76  –762 cm,20.0 W Mono,1 cm3 LCD,1.4  – 8.4 m,1.30– 2.20,Rate this Projector,9.56 L,3 years,2.9 kg,NEC ME331W,$639,1/1/2017
16 ms,No,16:9,n/a,"4,000 lumens","12,000:1",26 × 33 × 13 cm,"4,000 hours",1920x1080 (HD),76  –763 cm,10.0 W Mono,2 cmDLP,1.2  – 9.9 m,1.49– 1.76,Rate this Projector,11.69 L,3 years,3.7 kg,ViewSonic PG705HD,$799,12/20/2017
32 ms,Full HD 3D,1.9:1,n/a,"1,500 lumens",n/a,46 × 50 × 20 cm,n/a,4096x2160,151  –407 cm,No,2 cmSXRD,3.8  – 5.0 m,1.38– 2.83,Rate this Projector,44.85 L,3 years,14.1 kg,*,"$7,999",First Ship Date:
33 ms,No,16:9,n/a,300 lumens,"100,000:1",9 × 11 ×  6 cm,"30,000 hours",1280x720 (HD),51  –254 cm,1.0 W × 2,DLP,0.7  – 3.8 m,1.71,,0.61 L,2 years,0.4 kg,*,$450,First Ship Date:
16 ms,Full HD 3D,4:3,n/a,"3,500 lumens","22,000:1",21 × 32 × 12 cm,"4,500 hours",800x600 (SVGA),75  –762 cm,n/a,DLP,1.3  –12.0 m,1.97– 2.17,Rate this Projector,8.24 L,3 years,2.1 kg,ViewSonic PA502S,$289,7/15/2017
18 ms,No,16:10,43 dB,"6,500 lumens","2,000:1",37 × 38 × 17 cm,"3,000 hours",1920x1200 (WUXGA),n/a,5.0 W Mono,2 cmLCoS,n/a,,Rate this Projector,23.79 L,3 years,8.5 kg,Canon REALiS WUX6500,"$5,074",3/20/2017
33 ms,PC 3D Ready,16:10,n/a,800 lumens,"100,000:1",14 × 14 ×  5 cm,"30,000 hours",1280x800 (WXGA),64  –254 cm,1.0 W × 2,DLP,0.8  – 3.3 m,1.52,Rate this Projector,0.99 L,1 years,0.6 kg,*,$600,First Ship Date:
44 ms,No,4:3,37 dB,"3,500 lumens","10,000:1",27 × 29 ×  9 cm,"5,000 hours",1024x768 (XGA),77  –762 cm,16.0 W Mono,3 LCD,1.4  – 8.4 m,1.38– 2.24,Rate this Projector,7.05 L,2 years,2.9 kg,*,$899,First Ship Date:
16 ms,Full HD 3D,16:10,n/a,"3,300 lumens","10,000:1",39 × 43 × 15 cm,"3,000 hours",1280x800 (WXGA),221  –305 cm,10.0 W × 2,DLP,0.4  – 0.6 m,0.23,Rate this Projector,25.77 L,3 years,6.1 kg,ViewSonic PS750W,"$1,499",8/20/2017
66 ms,No,16:10,39 dB,"5,000 lumens","15,000:1",37 × 47 × 14 cm,"20,000 hours",1280x800 (WXGA),42  –1288 cm,20.0 W Mono,2 cmDLP,0.8  –14.2 m,1.30– 2.20,,23.58 L,3 years,8.8 kg,*,"$4,999",First Ship Date:
16 ms,Full HD 3D,16:9,n/a,"5,000 lumens","5,000:1",31 × 47 × 14 cm,"2,000 hours",1920x1080 (HD),76  –763 cm,10.0 W × 2,2 cmDLP,1.0  – 7.6 m,1.15– 1.50,Rate this Projector,20.68 L,3 years,6.2 kg,ViewSonic PG800HD,"$1,249",11/8/2017
56 ms,No,16:10,39 dB,"4,400 lumens","10,000:1",29 × 38 × 12 cm,"3,000 hours",1920x1200 (WUXGA),126  –763 cm,16.0 W Mono,3 LCD,2.4  – 8.9 m,1.38– 2.28,Rate this Projector,13.55 L,2 years,4.6 kg,*,"$1,600",First Ship Date:
19 ms,No,16:10,37 dB,"4,500 lumens","2,000:1",41 × 34 × 14 cm,"3,000 hours",1920x1200 (WUXGA),77  –764 cm,5.0 W Mono,LCoS,0.4  – 3.6 m,0.56,Rate this Projector,18.99 L,3 years,6.3 kg,Canon REALiS WUX450ST,"$5,432",4/1/2016
33 ms,Full HD 3D,16:9,n/a,"3,200 lumens","15,000:1",22 × 27 ×  8 cm,"5,000 hours",1920x1080 (HD),77  –763 cm,2.0 W Mono,2 cmDLP,1.0  – 7.7 m,1.15– 1.50,Rate this Projector,4.99 L,3 years,2.1 kg,*,$669,First Ship Date:
16 ms,Full HD 3D,16:10,n/a,"5,500 lumens","100,000:1",44 × 36 × 16 cm,"20,000 hours",1920x1200 (WUXGA),76  –763 cm,5.0 W × 2,DLP,1.2  – 7.4 m,1.15– 1.90,Rate this Projector,25.37 L,3 years,11.0 kg,ViewSonic LS800WU,"$3,199",1/10/2018
