1080P Input Lag,3D Projector,Aspect Ratio,Audible Noise,Brightness,Contrast,L × W × H,Lamp Life,Resolution,Screen Size,Speakers,Technology,Throw Distance,Throw Ratio (std lens),User Rating,Volume,Warranty,Weight,name,price_dollars,release_date
16 ms,Full HD 3D,16:10,33 dB,"5,200 lumens","5,000:1",32 × 50 × 14 cm,"2,000 hours",1920x1200 (WUXGA),76  –763 cm,10.0 W × 2,2 cmDLP,1.1  – 6.9 m,1.07– 1.71,Rate this Projector,21.94 L,3 years,6.3 kg,ViewSonic Pro8800WUL,"$1,899",4/1/2017
33 ms,Full HD 3D,16:9,30 dB,"2,400 lumens","15,000:1",19 × 22 ×  8 cm,"6,000 hours",1920x1080 (HD),77  –763 cm,2.0 W Mono,DLP,1.0  – 7.7 m,1.15– 1.50,Rate this Projector,3.26 L,2 years,1.6 kg,InFocus IN1118HD,$999,3/22/2016
16 ms,Full HD 3D,4:3,n/a,"4,000 lumens","22,000:1",22 × 29 × 11 cm,"4,000 hours",1024x768 (XGA),76  –762 cm,10.0 W Mono,1 cmDLP,1.3  –11.9 m,1.96– 2.15,Rate this Projector,7.05 L,3 years,2.4 kg,ViewSonic PG703X,$579,7/15/2017
82 ms,Full HD 3D,16:10,n/a,"5,200 lumens","100,000:1",39 × 41 × 17 cm,"20,000 hours",1920x1200 (WUXGA),76  –762 cm,10.0 W × 2,2 cmDLP,1.4  – 7.8 m,1.20– 2.13,Rate this Projector,26.14 L,n/a,11.4 kg,Ricoh PJ WUL5670,"$4,365",4/15/2017
16 ms,No,16:10,n/a,800 lumens,"120,000:1",14 × 18 ×  5 cm,"30,000 hours",1280x800 (WXGA),62  –254 cm,2.0 W × 2,1 cmDLP,0.7  – 3.0 m,1.40,Rate this Projector,1.24 L,3 years,0.8 kg,ViewSonic PLED-W800,$649,10/1/2014
16 ms,Full HD 3D,4:3,n/a,"3,500 lumens","22,000:1",21 × 32 × 12 cm,"5,000 hours",1024x768 (XGA),75  –762 cm,n/a,1 cmDLP,1.3  –12.0 m,1.97– 2.17,Rate this Projector,8.27 L,3 years,2.1 kg,ViewSonic PA502X,$339,7/15/2017
56 ms,No,16:9,n/a,"1,300 lumens","10,000,100:1",55 × 55 × 22 cm,"30,000 hours",1920x1080 (HD),90  –874 cm,No,2 cm3 LCD,2.1  – 9.8 m,1.28– 2.73,Rate this Projector,68.37 L,3 years,18.0 kg,Epson Pro LS9600e,"$5,999",11/10/2014
16 ms,No,16:10,n/a,"3,500 lumens","22,000:1",23 × 35 × 11 cm,"3,500 hours",1280x800 (WXGA),77  –763 cm,8.0 W Mono,2 cmDLP,1.1  – 10.0 m,1.54– 1.71,Rate this Projector,8.68 L,3 years,2.9 kg,ViewSonic PA505W,$429,11/8/2017
19 ms,No,16:10,37 dB,"4,500 lumens","2,000:1",41 × 34 × 14 cm,"3,000 hours",1920x1200 (WUXGA),77  –764 cm,5.0 W Mono,LCoS,0.4  – 3.6 m,0.56,Rate this Projector,18.99 L,3 years,6.3 kg,Canon XEED WUX450ST,n/a,4/1/2016
35 ms,No,16:10,39 dB,"4,800 lumens","10,000:1",29 × 38 × 12 cm,"3,000 hours",1920x1200 (WUXGA),126  –761 cm,16.0 W Mono,3 LCD,2.4  – 8.9 m,1.38– 2.22,Rate this Projector,13.55 L,2 years,4.6 kg,Epson Pro 1985,"$1,699",12/1/2015
16 ms,No,16:10,n/a,"4,000 lumens","12,000:1",26 × 33 × 13 cm,"4,000 hours",1920x1200 (WUXGA),76  –763 cm,10.0 W Mono,2 cmDLP,1.1  – 9.5 m,1.47– 1.76,Rate this Projector,11.69 L,3 years,3.7 kg,ViewSonic PG705WU,$949,12/18/2017
53 ms,No,16:10,37 dB,"3,200 lumens","15,000:1",24 × 30 ×  8 cm,"5,000 hours",1920x1200 (WUXGA),77  –763 cm,2.0 W Mono,3 LCD,1.1  – 8.9 m,1.38– 1.68,Rate this Projector,5.89 L,2 years,2.6 kg,*,$799,First Ship Date:
16 ms,Full HD 3D,4:3,33 dB,"5,200 lumens","5,000:1",32 × 50 × 14 cm,"2,000 hours",1024x768 (XGA),76  –762 cm,10.0 W × 2,2 cmDLP,1.4  – 8.6 m,1.41– 2.25,Rate this Projector,21.94 L,3 years,6.3 kg,ViewSonic Pro8510L,"$1,249",6/1/2016
46 ms,No,4:3,n/a,"2,700 lumens","5,000:1",25 × 33 ×  9 cm,n/a,1024x768 (XGA),76  –762 cm,16.0 W Mono,3 LCD,1.1  – 9.1 m,1.50– 1.80,Rate this Projector,7.12 L,3 years,3.1 kg,Hitachi CP-X25LWN,$809,8/29/2016
16 ms,Full HD 3D,16:10,n/a,"4,000 lumens","22,000:1",22 × 29 × 11 cm,"4,000 hours",1280x800 (WXGA),76  –762 cm,10.0 W Mono,1 cmDLP,1.1  –10.0 m,1.55– 1.70,Rate this Projector,7.05 L,3 years,2.4 kg,ViewSonic PG703W,$629,7/15/2017
