1080P Input Lag,3D Projector,Aspect Ratio,Audible Noise,Brightness,Contrast,L × W × H,Lamp Life,Resolution,Screen Size,Speakers,Technology,Throw Distance,Throw Ratio (std lens),User Rating,Volume,Warranty,Weight,name,price_dollars,release_date
16 ms,Full HD 3D,4:3,n/a,"3,600 lumens","22,000:1",22 × 29 × 11 cm,"4,500 hours",800x600 (SVGA),76  –762 cm,2.0 W Mono,DLP,1.3  –11.9 m,1.96– 2.15,Rate this Projector,7.05 L,3 years,2.2 kg,ViewSonic PA503S,$299,7/15/2017
63 ms,Full HD 3D,16:10,32 dB,"8,000 lumens","2,000,000:1",53 × 48 × 20 cm,"20,000 hours",1920x1200 (WUXGA),n/a,No,2 cmDLP,n/a,,Rate this Projector,49.64 L,3 years,23.0 kg,Optoma ZU850,"$11,199",1/1/2017
33 ms,No,4:3,n/a,"3,000 lumens","20,000:1",27 × 27 ×  9 cm,"20,000 hours",1024x768 (XGA),76  –762 cm,No,1 cmDLP,1.0  – 9.4 m,1.54– 1.71,Rate this Projector,6.45 L,3 years,2.9 kg,Casio XJ-V2,$675,12/1/2015
16 ms,Full HD 3D,16:10,n/a,"3,600 lumens","22,000:1",22 × 29 × 11 cm,"4,500 hours",1280x800 (WXGA),76  –762 cm,2.0 W Mono,2 cmDLP,1.1  –10.0 m,1.55– 1.70,Rate this Projector,7.05 L,3 years,2.2 kg,ViewSonic PA503W,$399,7/15/2017
33 ms,Full HD 3D,16:9,31 dB,"3,000 lumens","10,000:1",23 × 33 × 14 cm,"4,000 hours",1920x1080 (HD),153  –762 cm,10.0 W Mono,DLP,2.4  – 10.0 m,1.50– 1.80,,10.42 L,1 years,3.0 kg,*,$600,First Ship Date:
16 ms,Full HD 3D,4:3,n/a,"3,600 lumens","22,000:1",22 × 29 × 11 cm,"4,500 hours",1024x768 (XGA),76  –762 cm,2.0 W Mono,1 cmDLP,1.3  –11.9 m,1.96– 2.15,Rate this Projector,7.05 L,3 years,2.2 kg,ViewSonic PA503X,$349,7/15/2017
33 ms,No,16:10,n/a,"3,500 lumens","20,000:1",30 × 30 ×  10 cm,"20,000 hours",1280x800 (WXGA),88  –762 cm,16.0 W Mono,2 cmDLP,1.4  – 8.5 m,1.32– 1.93,Rate this Projector,8.67 L,n/a,3.8 kg,Casio XJ-F210WN,"$1,050",4/25/2016
56 ms,No,16:9,n/a,"1,500 lumens","10,000,100:1",55 × 55 × 22 cm,"14,000 hours",1920x1080 (HD),77  –762 cm,No,2 cm3 LCD,1.8  – 8.5 m,1.28– 2.73,,68.37 L,3 years,18.0 kg,Epson Pro LS10000,"$7,999",11/20/2014
49 ms,Full HD 3D,16:9,31 dB,"4,000 lumens","12,000:1",38 × 46 × 13 cm,"20,000 hours",1920x1080 (HD),202  –382 cm,10.0 W Mono,2 cmDLP,0.4  – 0.8 m,0.23,Rate this Projector,22.70 L,5 years,10.5 kg,Vivitek DH765Z-UST,"$3,900",3/15/2017
33 ms,PC 3D Ready,16:9,32 dB,"3,200 lumens","15,000:1",22 × 29 × 12 cm,"5,000 hours",1920x1080 (HD),77  –760 cm,2.0 W Mono,2 cmDLP,1.0  – 7.6 m,1.15– 1.50,Rate this Projector,7.71 L,2 years,2.4 kg,InFocus IN119HDx,$559,n/a
16 ms,Full HD 3D,16:9,33 dB,"5,200 lumens","5,000:1",32 × 50 × 14 cm,"2,000 hours",1920x1080 (HD),76  –763 cm,10.0 W × 2,2 cmDLP,1.1  – 7.1 m,1.07– 1.71,Rate this Projector,21.94 L,3 years,6.3 kg,ViewSonic Pro8530HDL,"$1,799",6/1/2016
16 ms,Full HD 3D,16:9,n/a,"5,000 lumens","100,000:1",44 × 36 × 16 cm,"20,000 hours",1920x1080 (HD),76  –763 cm,5.0 W × 2,DLP,1.3  – 7.7 m,1.15– 1.90,Rate this Projector,25.37 L,3 years,11.0 kg,ViewSonic LS800HD,"$2,999",1/10/2018
16 ms,Full HD 3D,16:9,n/a,"2,000 lumens","100,000:1",39 × 43 × 15 cm,"3,000 hours",1920x1080 (HD),178  –382 cm,10.0 W × 2,DLP,0.4  – 0.8 m,0.23,Rate this Projector,25.77 L,3 years,6.1 kg,ViewSonic PX800HD,"$1,299",3/29/2017
66 ms,No,16:9,39 dB,"5,000 lumens","15,000:1",37 × 47 × 14 cm,"20,000 hours",1920x1080 (HD),43  –1342 cm,20.0 W Mono,2 cmDLP,0.8  –14.5 m,1.24– 2.10,Rate this Projector,23.58 L,3 years,8.8 kg,*,"$5,999",First Ship Date:
82 ms,Full HD 3D,16:10,35 dB,"5,500 lumens","300,000:1",41 × 40 × 13 cm,"20,000 hours",1920x1200 (WUXGA),71  –767 cm,10.0 W × 2,2 cmDLP,1.3  – 7.8 m,1.20– 2.13,Rate this Projector,20.65 L,5 years,11.0 kg,Optoma ZU510T-W,"$3,599",11/15/2016
